headline,category,authors,id,day and month
innout burger serve hot cocoa cause quite stir,TASTE,Ron Dicker,16993,Thu_Jan
kid need learn disagree heres teach,PARENTING,Caroline Bologna,3559,Tue_Dec
jada pinkett smith gabrielle union end feud 17 years,BLACK VOICES,Ron Dicker,9838,Fri_May
experience free events attractions home,HOME & LIVING,Caroline Bologna,5134,Sat_Mar
sextuplets shock parent doctor expect 5 baby,PARENTING,,6749,Tue_May
heres happen nigerian state appoint minister happiness,IMPACT,"Emmanuel Akinwotu, On Assignment For HuffPost",16032,Thu_Jan
1 person solve canadian spy agencys escape room,WORLD NEWS,"By Zi-Ann Lum, HuffPost Canada",5524,Mon_Dec
facebook still allow mug shots even though ruin live,TECH,Jessica Schulberg,679,Sat_May
black students march gun violence florida likely didnt hear,BLACK VOICES,Sarah Ruiz-Grossman,11049,Thu_Apr
trevor noahs hilarious analogy trump presidency absolute fyre,ENTERTAINMENT,Josephine Harvey,5972,Tue_Oct
chrissy teigen back twitter wit intact 23day hiatus,ENTERTAINMENT,Curtis M. Wong,2882,Fri_Apr
dallas officer shoot home depot die 2 others still hospital,CRIME,"Sebastian Murdock, Carla Herreria, and Doha Madani",10428,Tue_Apr
jury reject sarah palins defamation claim new york time,MEDIA,Sara Boboltz,1173,Tue_Feb
bear act like friendly dog due strange brain condition,ENVIRONMENT,Hilary Hanson,2960,Sat_Apr
rise bbl get brazilian butt lift impact patients,CULTURE & ARTS,Ruth Etiesit Samuel,661,Wed_May
kfc troll trump spoof ronald mcdonald threat,TASTE,Lee Moran,17007,Thu_Jan
say someone share trauma,WELLNESS,Kelsey Borresen,2900,Tue_Apr
sinclair broadcast boss donate gop rep assault reporter,MEDIA,Willa Frej,10701,Wed_Apr
woman kick chickfila breastfeed fight back,PARENTS,David Moye,16298,Mon_Jan
new york lawmakers urge andrew cuomo resign wake sexual harassment report,POLITICS,Alanna Vagianos,2244,Tue_Aug
model agencies enable sexual predators years former agent say,ARTS & CULTURE,Angelina Chapin,15389,Mon_Jan
desperate teachers district beg retire come back,EDUCATION,"The Hechinger Report, Editorial Partner",10652,Thu_Apr
rosario dawson open rap molest child,LATINO VOICES,Carolina Moreno,15993,Fri_Jan
disneys star war land take shape new video huge,TRAVEL,Ed Mazza,12927,Fri_Mar
audiences go second help encanto,ENTERTAINMENT,"Lindsey Bahr, AP",1545,Sun_Dec
snub surprise 2022 emmy nominations,CULTURE & ARTS,"Marina Fang, Elyse Wanshel, Erin E. Evans, and Candice Frederick",391,Tue_Jul
